Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Effort),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Project start),Custom field (Project target),Custom field (Rank),Custom field (Roadmap),Custom field (Score),Sprint,Custom field (Start date),Custom field (State),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status category,Status category changed
[SEC-003] Account deletion (30-day window),SCRUM-103,10087,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend,Acceptance criteria: Deactivate → 30-day recoverable → hard delete | Dependencies: SEC-001 | Source: `15` §3 (resolved) | Size: L | Key sub-tasks: deactivation flow; scheduled hard-delete job; recovery endpoint | Original key: SEC-003,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000jb:,,,14,,,,,,,10018,SCRUM-18,Security,To Do,
[SEC-002] Data export,SCRUM-102,10106,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend,Acceptance criteria: Full JSON + Markdown-secondary export | Dependencies: SEC-001 | Source: `15` §3 | Size: M | Key sub-tasks: export job; format generation | Original key: SEC-002,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000nj:,,,14,,,,,,,10018,SCRUM-18,Security,To Do,
[SEC-001] Authorization/user-scoping audit,SCRUM-101,10086,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend;security,Acceptance criteria: Cross-user access rejected on every endpoint | Dependencies: All API stories | Source: `15` §2 | Size: L | Key sub-tasks: authz middleware audit; full endpoint sweep | Original key: SEC-001,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000j3:,,,14,,,,,,,10018,SCRUM-18,Security,To Do,
[ANLY-004] Historical completion rate calc,SCRUM-100,10085,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend,"Acceptance criteria: Per-category/time-of-day, feeds SCH-009/SCH-013/RESC-007 | Dependencies: EXEC-005 | Source: `11` §5 | Size: M | Key sub-tasks: rate calculator; consumer wiring | Original key: ANLY-004",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000iv:,,,12,,,,,,,10014,SCRUM-17,Analytics,To Do,
[ANLY-003] Why-falling-behind analysis,SCRUM-99,10084,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend,"Acceptance criteria: Dominant-factor ranking, not raw percentage | Dependencies: ANLY-001 | Source: `11` §4 | Size: M | Key sub-tasks: correlation-ranking query | Original key: ANLY-003",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000in:,,,12,,,,,,,10014,SCRUM-17,Analytics,To Do,
[ANLY-002] Planned/Executed/Achieved reporting,SCRUM-98,10100,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend;frontend,"Acceptance criteria: Three figures reported together, never averaged | Dependencies: EXEC-005 | Source: `11` §1 | Size: S | Key sub-tasks: breakdown view | Original key: ANLY-002",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000m7:,,,12,,,,,,,10014,SCRUM-17,Analytics,To Do,
[ANLY-001] Headline metrics,SCRUM-97,10105,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend;frontend,Acceptance criteria: Consistency/Planned-vs-Completed/Focused Hours/Goal Progress | Dependencies: EXEC-005 | Source: `11` §2 | Size: M | Key sub-tasks: metric queries; summary screen | Original key: ANLY-001,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000nb:,,,12,,,,,,,10014,SCRUM-17,Analytics,To Do,
[MEM-004] Category default flexibility config,SCRUM-96,10083,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend;frontend,Acceptance criteria: New-category setup questions | Dependencies: DOM-005 | Source: `02` §1.9 | Size: S | Key sub-tasks: category-creation flow | Original key: MEM-004,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000if:,,,11,,,,,,,10017,SCRUM-16,Memory/Preferences,To Do,
[MEM-003] Contextual preference application,SCRUM-95,10082,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend;frontend,"Acceptance criteria: Applied only with per-use confirmation, never silent | Dependencies: MEM-001 | Source: `08` §3 | Size: M | Key sub-tasks: contextual-prompt logic | Original key: MEM-003",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000i7:,,,11,,,,,,,10017,SCRUM-16,Memory/Preferences,To Do,
[MEM-002] Preference management UI,SCRUM-94,10099,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,frontend,Acceptance criteria: View/edit/delete/disable | Dependencies: MEM-001 | Source: `08` §4 | Size: S | Key sub-tasks: preferences screen | Original key: MEM-002,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000lz:,,,11,,,,,,,10017,SCRUM-16,Memory/Preferences,To Do,
[MEM-001] Preference entity + confirmation flow,SCRUM-93,10072,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:40 PM,,,,0,backend,"Acceptance criteria: Only explicit confirmation persists a preference | Dependencies: AI-003 | Source: `08` §1–2, `02` §5 | Size: M | Key sub-tasks: table+migration; confirmation-gated write | Original key: MEM-001",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000fz:,,,11,,,,,,,10017,SCRUM-16,Memory/Preferences,To Do,
[AI-012] Rate/cost protection,SCRUM-92,10104,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,09/Sep/26 1:44 PM,,,0,backend;ai;infrastructure,"Acceptance criteria: Quota tracking, backoff | Dependencies: AI-002 | Source: `07` §7, `17` §3 | Size: S | Key sub-tasks: quota tracker; backoff config | Original key: AI-012",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000n3:,,,9,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-011] Confidence banding,SCRUM-91,10081,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,"Acceptance criteria: High/Medium/Low, config-driven boundaries | Dependencies: AI-001 | Source: `07` §4, §8 (resolved) | Size: M | Key sub-tasks: banding logic; config externalization | Original key: AI-011",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000hz:,,,9,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-010] summarize_progress proposal,SCRUM-90,10071,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,23/Aug/26 12:39 PM,,,0,backend;ai,"Acceptance criteria: Dominant-factor summary text | Dependencies: AI-001, ANLY-003 | Source: `07` §3 | Size: S | Key sub-tasks: proposal handler | Original key: AI-010",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000fr:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-009] suggest_goal_revision proposal,SCRUM-89,10070,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,"Acceptance criteria: Options presented on goal pivot, no ranked single answer | Dependencies: AI-001, RESC-008 | Source: `07` §3 | Size: M | Key sub-tasks: proposal handler | Original key: AI-009",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000fj:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-008] extract_roadmap proposal,SCRUM-88,10098,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,"Acceptance criteria: AI-assisted node classification | Dependencies: AI-001, ROAD-001 | Source: `07` §3 | Size: L | Key sub-tasks: proposal handler; ROAD-007 integration | Original key: AI-008",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000lr:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-007] classify_hard_consequence proposal,SCRUM-87,10097,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,Acceptance criteria: Feeds SCH-004's AI-inference path | Dependencies: AI-001 | Source: `07` §3 | Size: M | Key sub-tasks: proposal handler; SCH-004 integration | Original key: AI-007,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000lj:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-006] suggest_resource proposal,SCRUM-86,10103,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,"Acceptance criteria: Resource suggestion with confidence | Dependencies: AI-001, ROAD-003 | Source: `07` §3 | Size: S | Key sub-tasks: proposal handler | Original key: AI-006",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000mv:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-005] suggest_split proposal,SCRUM-85,10069,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,Acceptance criteria: Session-split suggestion with confidence | Dependencies: AI-001 | Source: `07` §3 | Size: S | Key sub-tasks: proposal handler | Original key: AI-005,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000fb:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-004] estimate_duration proposal,SCRUM-84,10068,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,Acceptance criteria: Duration estimate with confidence | Dependencies: AI-001 | Source: `07` §3 | Size: S | Key sub-tasks: proposal handler | Original key: AI-004,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000f3:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-003] Progressive clarifying questions,SCRUM-83,10067,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai;frontend,"Acceptance criteria: 1–2 at a time, each tagged with a reason | Dependencies: AI-001 | Source: `07` §4, `14` §3 | Size: M | Key sub-tasks: question generation; reason-tag enforcement | Original key: AI-003",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000ev:,,,10,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-002] AI failure/timeout/malformed handling,SCRUM-82,10096,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,Acceptance criteria: Core flows unaffected by any AI failure mode | Dependencies: AI-001 | Source: `07` §5 | Size: M | Key sub-tasks: retry/backoff; fallback-to-deterministic paths | Original key: AI-002,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000lb:,,,9,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[AI-001] Structured proposal schema & validation,SCRUM-81,10095,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,"Acceptance criteria: Every AI call returns a validated typed proposal, never free-form control | Dependencies: DOM (all) | Source: `07` §3–4, `01` §2 | Size: L | Key sub-tasks: proposal schema definitions; validation layer | Original key: AI-001",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000l3:,,,9,,,,,,,10016,SCRUM-15,AI Architecture,To Do,
[ROAD-007] AI-assisted ingestion enhancement,SCRUM-80,10102,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:39 PM,,,,0,backend;ai,"Acceptance criteria: Layers on deterministic pass; confidence-flagged uncertain nodes | Dependencies: ROAD-001, AI-008 | Source: `06` §1.3, §2 | Size: M | Key sub-tasks: AI-assisted parse integration; uncertain-node flagging | Original key: ROAD-007",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000mn:,,,10,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[ROAD-006] Screenshot fixed-schedule import,SCRUM-79,10101,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend,Acceptance criteria: OCR/parse → Fixed Commitment entities | Dependencies: DOM-006 | Source: `06` §4 | Size: L | Key sub-tasks: OCR/structural parse; Fixed Commitment creation | Original key: ROAD-006,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000mf:,,,7,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[ROAD-005] Resource feedback (3-tier),SCRUM-78,10080,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;frontend,"Acceptance criteria: Single reaction logged; pattern surfaced; preference confirmed-only | Dependencies: ROAD-003, MEM-001 (soft dep) | Source: `06` §3.2 | Size: M | Key sub-tasks: feedback endpoint; tier logic | Original key: ROAD-005",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000hr:,,,7,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[ROAD-004] Resource replacement,SCRUM-77,10052,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend,"Acceptance criteria: Swap updates join only, not task identity | Dependencies: ROAD-003 | Source: `06` §3.1 | Size: S | Key sub-tasks: replace endpoint | Original key: ROAD-004",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000bj:,,,7,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[ROAD-003] Resource entity + attachment,SCRUM-76,10079,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;database,"Acceptance criteria: Standalone entity, many-to-many join | Dependencies: DOM-003 | Source: `02` §1.8, `06` §3 | Size: M | Key sub-tasks: table+migration; join table; API endpoints | Original key: ROAD-003",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000hj:,,,7,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[ROAD-002] Review/Approve UI,SCRUM-75,10078,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,frontend,"Acceptance criteria: Counts, edit actions, nothing scheduled pre-approve | Dependencies: ROAD-001 | Source: `06` §1.4–1.5 | Size: M | Key sub-tasks: review screen; approve endpoint | Original key: ROAD-002",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000hb:,,,7,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[ROAD-001] Document upload & deterministic parsing,SCRUM-74,10094,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend,"Acceptance criteria: PDF/Word/Markdown parsed into typed nodes | Dependencies: DOM-002, DOM-003 | Source: `06` §1.1–1.2 | Size: L | Key sub-tasks: file upload; structural parser; typed-node classifier | Original key: ROAD-001",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000kv:,,,7,,,,,,,10011,SCRUM-14,Roadmap/Resources,To Do,
[RESC-013] Recurring Intention end-to-end integration,SCRUM-73,10051,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;scheduling;testing,"Acceptance criteria: Given a 3x/week target: instances placed via the real scheduling engine; a missed instance creates no backlog next week; goal-linked completion rate correctly feeds Goal Risk | Dependencies: DOM-004, SCH-001, RESC-010, RESC-007 | Source: `05` §4, `02` §2.5 | Size: M | Key sub-tasks: end-to-end test harness; instance-generation wiring through SCH-001; weekly-reset job verification; risk-feed integration test | Original key: RESC-013",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000bb:,,,8,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-012] Unexpected interruption handling,SCRUM-72,10077,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:37 PM,,,,0,backend;frontend,"Acceptance criteria: ""Can't work 4–8 PM"" triggers local reschedule first | Dependencies: RESC-002 | Source: `05` §1 | Size: S | Key sub-tasks: interruption input; local-reschedule trigger | Original key: RESC-012",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000h3:,,,5,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-011] Pattern detection (multi-week evidence),SCRUM-71,10050,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend,"Acceptance criteria: Multi-week + frequency-ratio threshold, observation phrasing | Dependencies: RESC-002 | Source: `05` §6 | Size: M | Key sub-tasks: pattern-detection query; observation surfacing | Original key: RESC-011",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000b3:,,,6,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-010] Recurring Intention weekly reset + recovery,SCRUM-70,10049,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;scheduling,"Acceptance criteria: No backlog accumulation; goal-risk feed | Dependencies: DOM-004, RESC-007 | Source: `05` §4 | Size: M | Key sub-tasks: weekly reset job; risk feed wiring | Original key: RESC-010",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000av:,,,6,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-009] Deferred Backlog Review batching,SCRUM-69,10093,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;frontend,"Acceptance criteria: Periodic batched surfacing, never auto-delete | Dependencies: RESC-005 | Source: `05` §8 (resolved) | Size: M | Key sub-tasks: batching job; review UI | Original key: RESC-009",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000kn:,,,6,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-008] At-Risk transition + Critical conversation,SCRUM-68,10048,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;frontend,"Acceptance criteria: 5 options presented; silence ≠ resolution | Dependencies: RESC-007 | Source: `05` §5, `02` §2.2 | Size: M | Key sub-tasks: transition logic; conversation UI | Original key: RESC-008",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000an:,,,6,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-007] Goal Risk feasibility calculation,SCRUM-67,10066,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:38 PM,,,,0,backend;scheduling,"Acceptance criteria: Formula-based, config-driven threshold | Dependencies: SCH-013, ANLY-004 (soft dep) | Source: `05` §5 (resolved) | Size: L | Key sub-tasks: feasibility formula; config-driven threshold | Original key: RESC-007",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000en:,,,6,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-006] Autonomous/Collaborative/Critical engine,SCRUM-66,10092,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:37 PM,,,,0,backend;scheduling,"Acceptance criteria: Correct tier classification per `05` §7 table | Dependencies: RESC-002, RESC-005 | Source: `05` §7 | Size: L | Key sub-tasks: tier classifier; boundary test suite | Original key: RESC-006",,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000kf:,,,5,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
[RESC-005] Overload resolution,SCRUM-65,10047,Story,To Do,SCRUM,Atlas,software,Ishan Gupta,62db88f437366f100e68c3fd,,,,,,Ishan Gupta,62db88f437366f100e68c3fd,Ishan Gupta,62db88f437366f100e68c3fd,23/Aug/26 11:11 AM,23/Aug/26 12:37 PM,,,,0,backend;scheduling,Acceptance criteria: Protect-then-defer under multi-item conflict | Dependencies: RESC-002 | Source: `05` §3 | Size: M | Key sub-tasks: overload resolver | Original key: RESC-005,,,,0,0,0,,0,0,0,,,,,,,,,,,{},,,,,,,,,,,,,0|i000af:,,,5,,,,,,,10015,SCRUM-13,Rescheduling/Recovery,To Do,
